title,productName,starRating,reviewText,submittedAt,topic,sentiment,sentiment_score
Incredible Issue Management,Jira,5,"We use JIRA extensively for issue management and tracking. Each team has a project and it is a great way to work amongst teams and collaborate. The tool is very versatile and great to have project leaders, watchers, stakeholders, etc. They also have powerful and customizable searches and dashboards to keep track of projects you've reported, own, or are watching. It can be a little hard to use because it has so many features, but this isn't necessarily a bad thing. This is a great solution for issue tracking and project management. I recommend it. Incredible Issue Management",2013-07-23T17:33:19.667Z,1,positive,0.9346652030944824
Jira is adequate for our needs,Jira,4,"I have used Jira at my last couple jobs. They have added a lot of functionality over the past few years, and at this rate I might even start to like it one of these days! The various search filters and dashboard widgets are my favorite part. As far as project management software goes, I've definitely used worse. Once you have a few thousand issues in the system, it becomes SO difficult to find a specific issue that you are looking for, especially if it is not assigned to you. I'm not sure why, since the search tools are pretty robust, but I think this is caused by the fact that if you have dozens of users submitting buys/enhancements, they often use slightly different terms to describe projects, making keyword searches less helpful. Unless you have an admin who is on top of all the categorizing and management, the whole system becomes unwieldy. Linking issues together also uses an unwieldy process. Jira would benefit from an interface that is more user-friendly to casual users (like executives). As it is, this is a tool that is adequate for worker bees, but hard for casual users to embrace. Jira is adequate for our needs",2013-08-06T20:15:20.824Z,1,positive,0.9079149961471558
The most cost effective and flexible issue management system out there today,Jira,5,"Configurability/flexibility is the key for Jira. Its not a question of whether you can make the tool do what you want it to, its more a question of how far you want to go with it. Nearly every aspect of the product is configurable in some way, from the types of issues, the fields each issue has, permissions to access issues, workflow for each issue type...the list goes on and on. Combined with the Greenhopper plugin Jira also becomes a great tool for managing an Agile/Scrum process. It does a great job of making backlog grooming, sprint planning and sprint execution a breeze. Additionally there is a great plugin architecture that allows developers to add or modify functionality via Java/HTML/JavaScript. This has let to a very active developer community that is constantly contributing to the Jira plugin marketplace. Jira also has a very active community of developer and administrators on the forums. As a result, getting help and/or answers to your questions is quite easy. Their entire documentation site, their support forums and the Jira customer support site are all indexed by the major search engines so simply searching the web for answers to your Jira questions will almost always turn up an answer. Jira can be a bit overwhelming to new users. On the surface its a very simple system and Atlassian has been working on this issue for a while now but it is easy for new users to get confused and not know what to do when they first log in. Give thought to how you want things to work before deploying the system and avoid the temptation to over customize. Simple is better in the long run. Train your users on the basics and gather early feedback in order to tune the install to the needs of the user community. The most cost effective and flexible issue management system out there today",2013-03-25T21:52:07.286Z,1,positive,0.48851102590560913
Flexible Issue Tracking with Powerful Workflows and Integrations,Jira,5,"Jira is the ultimate truth that transforms chaotic sticky-note enrgy into a streamline, high-visibility workflow. It's robust customizability allows teams to mould every issue and board to their specific needs. also the way it integrates deep technical data with high-level project tracking makes it perfect bridge between granular dev work and bigg-picture strategy. Sheer complexity of its configuration can turn a simple setup into a labyrinth of admin-only permission and hidden settings. Frequently suffers from noticeable UI lag and notification fatigue where sheer volume of pings can bury the actual work. Ultimatelt, it often feels over-engineered for smaller team, demanding more time spent ""feeding the tool"" than actually shipoping code Prioritisation by aligning backlogs and issue ranking helps teams focus on most important work instead of reacting randomly. Boards, sprint reports and dashboards make it easier to see whether work is on track. clear ownership and status changes make it obvious who is repsonsible what and where things are stuck. Linking commits, pull requests and deployments to issue connect planning with actual code changes Flexible Issue Tracking with Powerful Workflows and Integrations",2026-04-07T17:49:21.903Z,1,neutral,0.4996507167816162
Real Time Update,Jira,5,"It really an amazing tool to track on all our work status and collaborate with team incase incase of any issue on the assigned task. All good, don't have any dislike about it. It's really for me and our team to track all our work status and helps to know what my team is doing and what their status as well. Also we can merge our code to Github using JIRA's branch name, so that it will help us to find our work in development branch in future. Real Time Update",2025-01-08T14:51:53.858Z,1,positive,0.7845093607902527
"Unlimited Potential, Manageable Complexity",Jira,4,"Jira is second to none when it comes to adaptability to a great variety of different workflows and really extensive features of customization. Strong integrations further facilitate collaboration and automation of tasks, while clear visualization with Kanban and Scrum boards brings transparency to decision-making. Besides, Jira has been designed in such a way that it will scale well with the growth of your team. Jira is a steep learning curve unto itself, and its feature set may overwhelm a new user right away. Advanced configurations of most the customizations are really challenging to perform and usually require technical expertise. Also, the costs for using Jira, especially in great teams or enterprises, might be high and therefore be considered as part of the return on investment. Jira solves one of the main problems: centralizing information for case tracking and work organization. This will help us have one single point of access for all relevant information, smoothing communication and collaboration with teams. Unlimited Potential, Manageable Complexity",2024-09-25T11:00:33.364Z,1,positive,0.760103702545166
Efficiency Redefined: Revolutionizing Project Management,Jira,4,"The unparallel experience of project management is one phrase I can use to explain JIRA. The best things I can think of is the ability to create multiple boards which can be used by multiple teams within the organization itself. Another commentable feature is the ability to link multiples issues with another issue on the board and the ability to link/intergrate the same with external softwares. This has helped in getting approvals from other teams whichever/wherever necessary. The robus interface and easy to understand UI can help anyone get familiar with JIRA and the usecases fast. Introducing/implement JIRA was a piece of cake as any new employee/user can simply sign up and set up the account instantly. There was no delay, no longer process which makes this anyones's go to tool. This is a tool that our entire organization uses on a daily basis. I use this everyday to keep track of the projects i'm working on, keep track of the progress and understand where the blocker is. This also gives anyone in the organization the visibility to understand the key changes that are occurring to even the slightest change that is happening as everything can be logged and made use later. The complexity of the features or diving deep into multiple features can get you lost sometime(Also, if you are a newbie, it may need some time to get used with the multiple functionalities of the tool). But once you master it, it becomes a piece of cake. The key thing that Jira is helping is tracking/logging of the multiple issues that are running across teams. This gives the visibility from a slightest change that is happening in the product to an organization level change as well. This is used as part of a change management process to let everyone know what is happening and who is owning. Efficiency Redefined: Revolutionizing Project Management",2024-02-26T09:26:39.212Z,1,positive,0.7104206085205078
Jira- highly recommended for Engineering and Software Development teams to manage work effectively,Jira,5,"The user friendly UI is the best thing about Jira. It's ability to integrate effectively and easily with other important tools is one of the best parts. The Kanban/Scrum boards are self-explanatory. The ease of ticket creation and managing your own tickets/tasks makes Jira a very effective tool to keep track of our assigned tasks. Ease of workflow creations and availability of various postfunctions/validators/conditions etc. Availability of Jira forms/Automation using GUI makes things easy. Additionally, the Atlassian support team is readily available to help whenever we're stuck on something. -The loading time for complex queries, list of custom fields (in Data Centre only) , workflows etc. - Lack of idea management feature to keep track of ideas or plans (though we can use Confluence for that) - Limited upload size for attachments sometimes become irritating. - Unavailbility of multiple Project Leads for a project - Unavailability of customisatins for in-built Jira reports and it's reliance on third party apps to achieve the desired results (which sometimes don't work as expected) - the software isn't much cost effective. Sadly, only companies with high budget can afford Jira. With Jira it has become easier for me to undetstand what is the project/task assigned to me about, what is the status of the project/task and when were the tasks last updated. The Kanban/Scrum board is the place where we can also track the task updates of our team members (in case we're working collaboratively). The jira board provides transparency during a project development process for each of the people involved in it. Jira dashboard is a great feature to see all your tasks (even if they're in different projects) in a unified place. It also helps in project estimation to help know if the project is advancing slower than planned. Jira- highly recommended for Engineering and Software Development teams to manage work effectively",2023-09-21T11:11:19.937Z,1,positive,0.8615577816963196
"When we think about project management, we automatically think of JIRA",Jira,5,"Project management has become so easy with JIRA. We can manage tasks following the agile method and add all the required details about the task updates such as story points, due date, assignee, reporter, and additional information and comments. JIRA has many integrations which are really helpful to keep track of our tasks such as GitHub. Although JIRA has so many advanced features, they can improve on some points: - Sometimes response time is really high. We have wait for the page to get loaded. - More customizations should be provided. Our organization needed a tool that could help us to manage our ongoing projects in an efficient manner. JIRA helps us to fulfill our project management and bug-reporting requirements. When we think about project management, we automatically think of JIRA",2023-06-16T15:02:55.357Z,1,positive,0.6887781023979187
Jira for project management and issue tracking,Jira,5,"Very popular among the product managers and software developers Super useful JQL(Jira Query Language) which makes finding the relavant issues super fast, it also has saved filter option whihc you can use to filter issues with multiple criteria and save them and next time, you just need to use the saved filters to see all the filtered issues(ie issues which are assigned to you in a specific project but not marked as done) Powerful dashboards and analytics provided great integration with other Atlassian products and some other common developer products like Github to make the work of software developers easy UI/UX can be more smooth its bit bulky when you have short tasks with less details I like it a lot but folks having experiance with other competitive products find it more challenging to work with Project management and issue tracking and it helps to manage work better it also makes it easy to gain insights that who is working on what, how much that person/team already has and help us plan things better Jira for project management and issue tracking",2023-06-16T06:02:34.803Z,1,positive,0.8895365595817566
